container_length_m,container_width_m,container_height_m,container_volume_m3,total_boxes,small_box_count,large_box_count,total_box_volume_m3,irregular_parts_count,pallet_pattern,packing_orientation,weight_limit_kg,total_weight_kg,cube_utilisation_pct
5.9,2.35,2.39,33.137350000000005,113,70,43,26.5586261682721,0,brick,LWH,28000,7967.58785048163,83.49
5.9,2.35,2.39,33.137350000000005,212,182,30,17.943875025,12,mixed,WHL,28000,5383.1625075,54.7
5.9,2.35,2.39,33.137350000000005,139,92,47,19.206184247933354,3,pinwheel,WHL,28000,5761.855274380006,56.22
12.0,2.35,2.39,67.39800000000001,135,99,36,21.650890204455493,0,brick,LWH,29000,6495.267061336648,29.79
12.0,2.35,2.39,67.39800000000001,102,62,40,15.768525876573506,0,brick,LWH,29000,4730.557762972052,24.42
12.0,2.35,2.39,67.39800000000001,323,293,30,27.139405119002767,16,mixed,mixed,29000,8141.82153570083,40.4
12.0,2.35,2.39,67.39800000000001,234,188,46,30.93976184978856,0,stacked,LWH,29000,9281.928554936569,48.93
5.9,2.35,2.39,33.137350000000005,161,113,48,23.547400910000004,6,pinwheel,mixed,28000,7064.220273000001,72.22
12.0,2.35,2.39,67.39800000000001,107,81,26,17.610839765223616,0,mixed,LWH,29000,5283.2519295670845,26.75
5.9,2.35,2.39,33.137350000000005,239,234,5,9.628397326596264,4,brick,WHL,28000,2888.519197978879,27.71
12.0,2.35,2.39,67.39800000000001,276,228,48,28.76390626841831,0,brick,mixed,29000,8629.171880525493,43.27
12.0,2.35,2.39,67.39800000000001,308,285,23,32.413934593676686,0,mixed,LWH,29000,9724.180378103007,47.14
12.0,2.35,2.39,67.39800000000001,319,290,29,30.928657202082277,0,brick,mixed,29000,9278.597160624684,42.22
12.0,2.35,2.39,67.39800000000001,232,206,26,24.56858091394423,17,pinwheel,LWH,29000,7370.574274183269,38.49
5.9,2.35,2.39,33.137350000000005,102,85,17,10.102904481888862,0,mixed,WHL,28000,3030.8713445666585,30.0
5.9,2.35,2.39,33.137350000000005,273,233,40,23.610361875,0,mixed,WHL,28000,7083.1085625,72.64
12.0,2.35,2.39,67.39800000000001,125,117,8,9.457021457105123,0,mixed,mixed,29000,2837.106437131537,13.09
5.9,2.35,2.39,33.137350000000005,204,159,45,23.89291802978112,0,brick,mixed,28000,7167.8754089343365,70.97
12.0,2.35,2.39,67.39800000000001,78,33,45,23.02926594277921,0,mixed,WHL,29000,6908.779782833763,32.62
5.9,2.35,2.39,33.137350000000005,217,194,23,19.80298760289925,0,pinwheel,LWH,28000,5940.896280869775,57.24
5.9,2.35,2.39,33.137350000000005,84,59,25,14.77623455094245,14,pinwheel,LWH,28000,4432.870365282735,42.15
5.9,2.35,2.39,33.137350000000005,178,170,8,18.105650035781412,4,mixed,mixed,28000,5431.695010734424,50.36
12.0,2.35,2.39,67.39800000000001,181,140,41,39.66206351064803,0,mixed,mixed,29000,11898.61905319441,58.93
12.0,2.35,2.39,67.39800000000001,257,233,24,34.775869352794345,0,brick,WHL,29000,10432.760805838303,51.12
12.0,2.35,2.39,67.39800000000001,297,291,6,23.7680971973013,0,brick,WHL,29000,7130.42915919039,35.61
12.0,2.35,2.39,67.39800000000001,245,214,31,40.03991654269811,0,mixed,mixed,29000,12011.974962809432,59.55
12.0,2.35,2.39,67.39800000000001,75,33,42,23.960943392501804,7,brick,WHL,29000,7188.283017750541,35.92
12.0,2.35,2.39,67.39800000000001,154,140,14,18.66808362004923,0,mixed,LWH,29000,5600.4250860147695,26.35
12.0,2.35,2.39,67.39800000000001,183,156,27,23.858388658528785,17,brick,WHL,29000,7157.516597558635,33.73
5.9,2.35,2.39,33.137350000000005,146,100,46,23.610361875,0,mixed,WHL,28000,7083.1085625,70.04
5.9,2.35,2.39,33.137350000000005,105,81,24,22.121411451646424,0,brick,WHL,28000,6636.423435493927,68.73
5.9,2.35,2.39,33.137350000000005,187,143,44,25.81402255190758,0,brick,mixed,28000,7744.206765572274,78.79
5.9,2.35,2.39,33.137350000000005,210,203,7,18.7308870875,15,stacked,WHL,28000,5619.2661262500005,55.75
5.9,2.35,2.39,33.137350000000005,187,144,43,16.055046075000003,20,stacked,WHL,28000,4816.513822500001,50.79
5.9,2.35,2.39,33.137350000000005,111,63,48,21.18024419489432,0,brick,WHL,28000,6354.073258468296,63.87
12.0,2.35,2.39,67.39800000000001,267,221,46,35.13139862842761,0,pinwheel,LWH,29000,10539.419588528282,53.34
5.9,2.35,2.39,33.137350000000005,81,71,10,8.413743338323064,0,brick,LWH,28000,2524.123001496919,25.09
12.0,2.35,2.39,67.39800000000001,147,106,41,23.296130681442687,1,mixed,LWH,29000,6988.839204432806,33.85
5.9,2.35,2.39,33.137350000000005,131,126,5,9.876525612231728,0,brick,LWH,28000,2962.9576836695182,29.75
5.9,2.35,2.39,33.137350000000005,251,240,11,20.64387998382062,0,mixed,WHL,28000,6193.163995146187,62.29
12.0,2.35,2.39,67.39800000000001,258,209,49,30.33576517780596,0,mixed,mixed,29000,9100.729553341787,43.74
12.0,2.35,2.39,67.39800000000001,225,219,6,9.397847708639588,0,stacked,mixed,29000,2819.3543125918764,12.21
5.9,2.35,2.39,33.137350000000005,96,70,26,20.877428668592195,0,brick,LWH,28000,6263.228600577659,65.09
12.0,2.35,2.39,67.39800000000001,261,227,34,27.031915871766124,6,pinwheel,LWH,29000,8109.574761529837,37.72
5.9,2.35,2.39,33.137350000000005,240,191,49,26.758410125000005,0,pinwheel,mixed,28000,8027.523037500001,83.2
12.0,2.35,2.39,67.39800000000001,56,35,21,12.074061604826369,7,brick,WHL,29000,3622.2184814479106,19.86
12.0,2.35,2.39,67.39800000000001,72,54,18,11.615918744204734,0,mixed,WHL,29000,3484.77562326142,18.65
12.0,2.35,2.39,67.39800000000001,259,242,17,20.708678977573058,0,pinwheel,LWH,29000,6212.603693271917,32.8
12.0,2.35,2.39,67.39800000000001,127,107,20,16.933159331327463,0,brick,LWH,29000,5079.947799398239,23.72
5.9,2.35,2.39,33.137350000000005,62,53,9,9.651413981434978,2,pinwheel,WHL,28000,2895.424194430493,28.17
12.0,2.35,2.39,67.39800000000001,176,147,29,27.519792540401255,0,brick,WHL,29000,8255.937762120377,40.6
5.9,2.35,2.39,33.137350000000005,170,129,41,15.662840423681242,0,mixed,WHL,28000,4698.852127104373,47.12
5.9,2.35,2.39,33.137350000000005,291,248,43,20.111057714999998,8,stacked,mixed,28000,6033.317314499999,62.97
5.9,2.35,2.39,33.137350000000005,307,278,29,23.610361875,0,mixed,LWH,28000,7083.1085625,70.41
12.0,2.35,2.39,67.39800000000001,324,287,37,33.842712525475214,0,brick,mixed,29000,10152.813757642563,51.69
5.9,2.35,2.39,33.137350000000005,177,152,25,20.163211360505137,0,pinwheel,mixed,28000,6048.963408151541,60.82
12.0,2.35,2.39,67.39800000000001,88,64,24,12.189633743054198,0,pinwheel,LWH,29000,3656.8901229162593,18.15
12.0,2.35,2.39,67.39800000000001,47,39,8,6.046014290876334,0,stacked,LWH,29000,1813.8042872629003,10.01
5.9,2.35,2.39,33.137350000000005,101,79,22,17.52153524992215,0,stacked,WHL,28000,5256.460574976644,52.33
12.0,2.35,2.39,67.39800000000001,121,77,44,15.309166581861792,0,brick,mixed,29000,4592.749974558537,23.06
12.0,2.35,2.39,67.39800000000001,196,170,26,26.79446113411479,0,brick,LWH,29000,8038.338340234437,38.27
12.0,2.35,2.39,67.39800000000001,106,71,35,16.68086870812491,0,stacked,LWH,29000,5004.260612437472,25.81
12.0,2.35,2.39,67.39800000000001,75,44,31,15.85151275447192,0,brick,mixed,29000,4755.453826341576,19.81
12.0,2.35,2.39,67.39800000000001,293,284,9,17.699725999137044,0,mixed,mixed,29000,5309.917799741113,25.38
12.0,2.35,2.39,67.39800000000001,100,79,21,20.40027412883593,0,mixed,mixed,29000,6120.08223865078,30.34
5.9,2.35,2.39,33.137350000000005,320,294,26,20.336391695000003,12,brick,mixed,28000,6100.917508500001,60.12
12.0,2.35,2.39,67.39800000000001,184,154,30,17.226700055373907,9,stacked,mixed,29000,5168.010016612172,22.95
12.0,2.35,2.39,67.39800000000001,152,109,43,19.474782453722902,14,stacked,WHL,29000,5842.43473611687,26.41
5.9,2.35,2.39,33.137350000000005,318,276,42,21.125060625000003,0,mixed,mixed,28000,6337.518187500001,65.42
12.0,2.35,2.39,67.39800000000001,218,181,37,36.91796072829233,0,pinwheel,LWH,29000,11075.388218487698,53.81
5.9,2.35,2.39,33.137350000000005,184,170,14,22.450533257120963,0,pinwheel,mixed,28000,6735.159977136289,65.53
12.0,2.35,2.39,67.39800000000001,51,26,25,20.319566412172968,0,mixed,mixed,29000,6095.8699236518905,28.46
12.0,2.35,2.39,67.39800000000001,254,216,38,18.751668919848797,10,mixed,WHL,29000,5625.500675954639,27.5
12.0,2.35,2.39,67.39800000000001,227,199,28,20.37353357348764,0,pinwheel,mixed,29000,6112.060072046293,27.78
5.9,2.35,2.39,33.137350000000005,229,200,29,21.249325687500004,5,mixed,WHL,28000,6374.797706250001,67.08
12.0,2.35,2.39,67.39800000000001,321,298,23,37.79793223493944,11,pinwheel,LWH,29000,11339.37967048183,57.35
5.9,2.35,2.39,33.137350000000005,72,38,34,27.118889292103347,0,pinwheel,WHL,28000,8135.666787631004,83.01
12.0,2.35,2.39,67.39800000000001,76,55,21,11.26161938797275,19,mixed,mixed,29000,3378.485816391825,18.57
5.9,2.35,2.39,33.137350000000005,53,41,12,9.099061829874785,0,mixed,mixed,28000,2729.7185489624353,28.12
12.0,2.35,2.39,67.39800000000001,48,23,25,10.578578826910205,0,brick,mixed,29000,3173.5736480730616,13.72
5.9,2.35,2.39,33.137350000000005,328,283,45,23.941735375,0,stacked,mixed,28000,7182.5206125,73.28
5.9,2.35,2.39,33.137350000000005,68,34,34,22.739761499974747,0,pinwheel,LWH,28000,6821.928449992424,68.58
5.9,2.35,2.39,33.137350000000005,46,27,19,14.913292914219888,0,pinwheel,LWH,28000,4473.987874265967,46.8
12.0,2.35,2.39,67.39800000000001,80,36,44,23.69955647887241,18,mixed,mixed,29000,7109.866943661723,34.75
5.9,2.35,2.39,33.137350000000005,201,181,20,20.871559897500003,11,stacked,WHL,28000,6261.467969250001,61.87
5.9,2.35,2.39,33.137350000000005,135,122,13,12.360487243956783,0,brick,mixed,28000,3708.146173187035,38.84
12.0,2.35,2.39,67.39800000000001,196,175,21,21.123575146839816,0,pinwheel,WHL,29000,6337.0725440519445,28.6
5.9,2.35,2.39,33.137350000000005,131,93,38,22.506488976727475,0,stacked,mixed,28000,6751.9466930182425,68.37
12.0,2.35,2.39,67.39800000000001,175,135,40,23.219638867116167,0,brick,mixed,29000,6965.89166013485,35.0
12.0,2.35,2.39,67.39800000000001,51,38,13,6.433644038715217,0,pinwheel,WHL,29000,1930.093211614565,9.33
5.9,2.35,2.39,33.137350000000005,38,31,7,4.9503333934163205,9,pinwheel,mixed,28000,1485.1000180248961,15.1
5.9,2.35,2.39,33.137350000000005,311,293,18,26.758410125000005,0,brick,mixed,28000,8027.523037500001,81.59
12.0,2.35,2.39,67.39800000000001,137,124,13,11.496733261874276,0,stacked,LWH,29000,3449.0199785622826,13.78
5.9,2.35,2.39,33.137350000000005,92,75,17,9.98823200067326,0,pinwheel,mixed,28000,2996.469600201978,30.18
5.9,2.35,2.39,33.137350000000005,204,186,18,23.941735375,0,stacked,mixed,28000,7182.5206125,70.65
5.9,2.35,2.39,33.137350000000005,161,117,44,25.688073720000006,2,stacked,WHL,28000,7706.422116000002,76.13
5.9,2.35,2.39,33.137350000000005,341,298,43,20.871559897500003,11,brick,mixed,28000,6261.467969250001,64.44
5.9,2.35,2.39,33.137350000000005,127,112,15,12.711084745327796,0,stacked,WHL,28000,3813.3254235983386,37.49
12.0,2.35,2.39,67.39800000000001,172,157,15,15.14431228453179,0,stacked,LWH,29000,4543.2936853595365,24.4
5.9,2.35,2.39,33.137350000000005,185,169,16,18.17558736257422,10,brick,WHL,28000,5452.676208772265,55.58
5.9,2.35,2.39,33.137350000000005,211,177,34,23.327037532500004,11,pinwheel,LWH,28000,6998.111259750001,69.57
5.9,2.35,2.39,33.137350000000005,159,145,14,16.117068487772492,17,pinwheel,mixed,28000,4835.120546331747,49.16
12.0,2.35,2.39,67.39800000000001,89,73,16,11.675201375013462,8,brick,WHL,29000,3502.5604125040386,16.76
5.9,2.35,2.39,33.137350000000005,308,259,49,21.125060625000003,0,mixed,mixed,28000,6337.518187500001,67.44
5.9,2.35,2.39,33.137350000000005,213,164,49,26.758410125000005,0,brick,mixed,28000,8027.523037500001,82.2
5.9,2.35,2.39,33.137350000000005,95,56,39,26.758410125000005,0,stacked,WHL,28000,8027.523037500001,81.8
5.9,2.35,2.39,33.137350000000005,104,81,23,9.26398989144267,0,brick,LWH,28000,2779.1969674328006,28.06
5.9,2.35,2.39,33.137350000000005,263,231,32,26.758410125000005,0,pinwheel,mixed,28000,8027.523037500001,80.6
12.0,2.35,2.39,67.39800000000001,299,273,26,35.76315834451478,0,pinwheel,WHL,29000,10728.947503354433,50.18
12.0,2.35,2.39,67.39800000000001,50,31,19,11.83237323713881,0,mixed,LWH,29000,3549.711971141643,17.8
5.9,2.35,2.39,33.137350000000005,223,176,47,29.906458375000003,0,brick,LWH,28000,8971.9375125,89.9
12.0,2.35,2.39,67.39800000000001,284,243,41,32.1387363,17,stacked,mixed,29000,9641.62089,46.56
5.9,2.35,2.39,33.137350000000005,142,97,45,23.610361875,0,mixed,LWH,28000,7083.1085625,69.94
5.9,2.35,2.39,33.137350000000005,79,41,38,25.688073720000006,2,pinwheel,mixed,28000,7706.422116000002,75.48
12.0,2.35,2.39,67.39800000000001,285,266,19,20.98371968873153,3,brick,WHL,29000,6295.115906619459,32.34
12.0,2.35,2.39,67.39800000000001,189,154,35,29.101263479967013,11,stacked,WHL,29000,8730.379043990104,42.63
5.9,2.35,2.39,33.137350000000005,157,142,15,16.95851752017674,0,pinwheel,LWH,28000,5087.555256053022,49.96
12.0,2.35,2.39,67.39800000000001,220,202,18,18.62567000059943,0,mixed,WHL,29000,5587.701000179829,28.63
5.9,2.35,2.39,33.137350000000005,157,149,8,11.254933378237057,0,stacked,LWH,28000,3376.480013471117,35.44
12.0,2.35,2.39,67.39800000000001,234,184,50,27.629593657894738,0,brick,mixed,29000,8288.87809736842,42.63
12.0,2.35,2.39,67.39800000000001,83,55,28,23.179004200873504,20,pinwheel,mixed,29000,6953.701260262051,35.58
5.9,2.35,2.39,33.137350000000005,203,162,41,26.758410125000005,0,brick,mixed,28000,8027.523037500001,81.71
5.9,2.35,2.39,33.137350000000005,230,225,5,20.05206979076833,0,brick,mixed,28000,6015.620937230498,60.37
5.9,2.35,2.39,33.137350000000005,311,264,47,21.125060625000003,0,mixed,mixed,28000,6337.518187500001,65.37
12.0,2.35,2.39,67.39800000000001,217,211,6,18.299081834256487,0,stacked,LWH,29000,5489.7245502769465,26.09
5.9,2.35,2.39,33.137350000000005,222,186,36,26.758410125000005,0,stacked,LWH,28000,8027.523037500001,79.55
12.0,2.35,2.39,67.39800000000001,136,129,7,7.5214065231509375,0,pinwheel,WHL,29000,2256.421956945281,14.17
12.0,2.35,2.39,67.39800000000001,303,285,18,35.494687746201905,0,stacked,WHL,29000,10648.406323860572,51.18
12.0,2.35,2.39,67.39800000000001,134,119,15,15.16021301804205,14,pinwheel,LWH,29000,4548.063905412615,25.13
12.0,2.35,2.39,67.39800000000001,103,81,22,11.608089116236815,19,mixed,WHL,29000,3482.4267348710446,15.87
12.0,2.35,2.39,67.39800000000001,267,239,28,21.475516620605575,0,mixed,WHL,29000,6442.654986181672,29.7
12.0,2.35,2.39,67.39800000000001,321,300,21,32.85337405367202,0,brick,LWH,29000,9856.012216101606,51.01
5.9,2.35,2.39,33.137350000000005,72,41,31,15.755105226086156,0,stacked,WHL,28000,4726.531567825847,45.83
12.0,2.35,2.39,67.39800000000001,204,166,38,24.29196553452669,0,brick,WHL,29000,7287.589660358007,31.77
12.0,2.35,2.39,67.39800000000001,206,191,15,21.19155740698934,0,mixed,WHL,29000,6357.467222096802,31.72
5.9,2.35,2.39,33.137350000000005,181,172,9,17.330289465898474,0,brick,mixed,28000,5199.086839769542,52.86
12.0,2.35,2.39,67.39800000000001,58,49,9,9.53852356661044,0,mixed,WHL,29000,2861.557069983132,14.24
12.0,2.35,2.39,67.39800000000001,152,114,38,24.661614477857192,0,brick,mixed,29000,7398.484343357158,35.64
12.0,2.35,2.39,67.39800000000001,258,218,40,22.113415265242047,0,pinwheel,LWH,29000,6634.024579572614,33.29
5.9,2.35,2.39,33.137350000000005,118,87,31,26.758410125000005,0,stacked,LWH,28000,8027.523037500001,81.59
12.0,2.35,2.39,67.39800000000001,291,245,46,31.283883700445518,3,pinwheel,mixed,29000,9385.165110133656,47.53
12.0,2.35,2.39,67.39800000000001,236,224,12,11.108456985046546,0,brick,mixed,29000,3332.537095513964,16.31
12.0,2.35,2.39,67.39800000000001,230,218,12,18.471552376597423,14,mixed,LWH,29000,5541.465712979227,27.68
5.9,2.35,2.39,33.137350000000005,189,180,9,12.009456968223951,0,stacked,WHL,28000,3602.837090467185,35.94
12.0,2.35,2.39,67.39800000000001,261,230,31,22.270187658421676,0,pinwheel,LWH,29000,6681.056297526503,29.81
12.0,2.35,2.39,67.39800000000001,267,238,29,34.552025684158124,0,mixed,WHL,29000,10365.607705247437,47.44
12.0,2.35,2.39,67.39800000000001,103,58,45,24.506948177975275,0,mixed,LWH,29000,7352.084453392583,36.27
12.0,2.35,2.39,67.39800000000001,270,265,5,12.091347348776655,0,brick,LWH,29000,3627.4042046329964,15.65
12.0,2.35,2.39,67.39800000000001,100,78,22,19.0133880130689,0,stacked,LWH,29000,5704.01640392067,28.93
12.0,2.35,2.39,67.39800000000001,312,286,26,34.586002881464786,0,mixed,WHL,29000,10375.800864439436,49.9
12.0,2.35,2.39,67.39800000000001,138,90,48,21.664080882475865,0,mixed,LWH,29000,6499.224264742759,33.57
5.9,2.35,2.39,33.137350000000005,320,278,42,26.00533968493989,0,brick,LWH,28000,7801.601905481967,77.91
12.0,2.35,2.39,67.39800000000001,117,108,9,9.02470837081338,0,brick,WHL,29000,2707.4125112440142,11.29
12.0,2.35,2.39,67.39800000000001,311,261,50,42.966225,0,mixed,mixed,29000,12889.8675,62.6
5.9,2.35,2.39,33.137350000000005,318,273,45,26.758410125000005,0,pinwheel,mixed,28000,8027.523037500001,81.22
5.9,2.35,2.39,33.137350000000005,186,147,39,26.99506720632155,0,pinwheel,WHL,28000,8098.520161896466,79.14
12.0,2.35,2.39,67.39800000000001,324,281,43,48.021075,0,mixed,LWH,29000,14406.3225,73.83
12.0,2.35,2.39,67.39800000000001,316,274,42,38.014009977061534,11,brick,LWH,29000,11404.20299311846,56.16
12.0,2.35,2.39,67.39800000000001,183,158,25,29.35779317591839,3,mixed,WHL,29000,8807.337952775517,44.15
5.9,2.35,2.39,33.137350000000005,265,223,42,17.6605506825,17,stacked,WHL,28000,5298.165204749999,51.67
12.0,2.35,2.39,67.39800000000001,290,270,20,20.866170352908,14,brick,WHL,29000,6259.8511058724,31.35
12.0,2.35,2.39,67.39800000000001,278,259,19,21.74367320196602,0,mixed,mixed,29000,6523.1019605898055,30.95
12.0,2.35,2.39,67.39800000000001,131,94,37,18.87969117738927,16,brick,LWH,29000,5663.90735321678,28.1
12.0,2.35,2.39,67.39800000000001,156,124,32,26.237071588021912,0,pinwheel,mixed,29000,7871.1214764065735,39.25
12.0,2.35,2.39,67.39800000000001,326,295,31,32.633726605611486,11,pinwheel,mixed,29000,9790.117981683446,48.72
5.9,2.35,2.39,33.137350000000005,285,261,24,15.110631600000001,18,mixed,WHL,28000,4533.18948,44.42
5.9,2.35,2.39,33.137350000000005,217,168,49,29.906458375000003,0,pinwheel,WHL,28000,8971.9375125,89.39
12.0,2.35,2.39,67.39800000000001,290,281,9,18.45732808328335,0,stacked,LWH,29000,5537.198424985005,25.1
12.0,2.35,2.39,67.39800000000001,176,132,44,23.887061391086807,7,stacked,LWH,29000,7166.118417326042,34.47
5.9,2.35,2.39,33.137350000000005,180,142,38,25.44207479292933,0,brick,mixed,28000,7632.622437878798,77.48
5.9,2.35,2.39,33.137350000000005,274,263,11,26.758410125000005,0,pinwheel,mixed,28000,8027.523037500001,80.53
5.9,2.35,2.39,33.137350000000005,126,102,24,16.011421808432736,0,pinwheel,mixed,28000,4803.426542529821,48.39
12.0,2.35,2.39,67.39800000000001,83,78,5,5.077698870455356,0,brick,WHL,29000,1523.3096611366068,10.09
5.9,2.35,2.39,33.137350000000005,121,71,50,29.906458375000003,0,pinwheel,WHL,28000,8971.9375125,87.74
12.0,2.35,2.39,67.39800000000001,334,298,36,49.55787991665595,0,brick,LWH,29000,14867.363974996784,72.78
5.9,2.35,2.39,33.137350000000005,105,73,32,16.525969569772165,0,brick,WHL,28000,4957.79087093165,53.9
12.0,2.35,2.39,67.39800000000001,123,95,28,16.008456810689896,16,brick,WHL,29000,4802.5370432069685,23.31
12.0,2.35,2.39,67.39800000000001,223,202,21,23.069849909621542,0,mixed,mixed,29000,6920.954972886462,34.94
12.0,2.35,2.39,67.39800000000001,90,70,20,19.40347401363485,0,pinwheel,WHL,29000,5821.042204090455,29.64
5.9,2.35,2.39,33.137350000000005,182,165,17,16.67846410186455,0,stacked,WHL,28000,5003.539230559365,51.08
12.0,2.35,2.39,67.39800000000001,117,85,32,27.241950112404965,0,pinwheel,mixed,29000,8172.58503372149,40.61
5.9,2.35,2.39,33.137350000000005,328,282,46,23.610361875,0,mixed,WHL,28000,7083.1085625,71.78
12.0,2.35,2.39,67.39800000000001,71,47,24,20.408545563019118,18,brick,LWH,29000,6122.5636689057355,30.11
5.9,2.35,2.39,33.137350000000005,37,31,6,5.639938158175378,0,brick,WHL,28000,1691.9814474526133,14.6
5.9,2.35,2.39,33.137350000000005,202,178,24,19.8575569875,3,mixed,mixed,28000,5957.267096250001,60.88
5.9,2.35,2.39,33.137350000000005,198,172,26,17.025998051654177,6,mixed,LWH,28000,5107.7994154962535,51.3
12.0,2.35,2.39,67.39800000000001,280,271,9,19.66040075641049,14,pinwheel,mixed,29000,5898.120226923147,28.05
12.0,2.35,2.39,67.39800000000001,140,126,14,14.313028665654116,0,mixed,LWH,29000,4293.908599696235,18.3
5.9,2.35,2.39,33.137350000000005,290,268,22,26.758410125000005,0,stacked,LWH,28000,8027.523037500001,81.17
5.9,2.35,2.39,33.137350000000005,204,163,41,23.610361875,0,mixed,WHL,28000,7083.1085625,70.32
12.0,2.35,2.39,67.39800000000001,238,197,41,28.25181802456791,0,stacked,LWH,29000,8475.545407370373,41.22
5.9,2.35,2.39,33.137350000000005,236,193,43,22.925536046779758,7,pinwheel,LWH,28000,6877.660814033928,69.12
5.9,2.35,2.39,33.137350000000005,237,197,40,28.710200040000004,2,brick,WHL,28000,8613.060012000002,86.24
5.9,2.35,2.39,33.137350000000005,161,123,38,21.125060625000003,0,mixed,mixed,28000,6337.518187500001,65.57
12.0,2.35,2.39,67.39800000000001,133,110,23,19.31038171072249,0,stacked,mixed,29000,5793.114513216747,29.48
12.0,2.35,2.39,67.39800000000001,213,186,27,29.276960036465457,0,stacked,LWH,29000,8783.088010939637,44.63
5.9,2.35,2.39,33.137350000000005,297,267,30,23.121230718242916,0,stacked,mixed,28000,6936.369215472875,70.25
12.0,2.35,2.39,67.39800000000001,122,99,23,13.829461012453859,6,pinwheel,LWH,29000,4148.838303736157,20.27
